"x1","x2","x3","weight"
0,0,1,-1
0,0.0125,0.9875,-0.9875
0,0.025,0.975,-0.975
0,0.0375,0.9625,-0.9625
0,0.05,0.95,-0.95
0,0.0625,0.9375,-0.9375
0,0.075,0.925,-0.925
0,0.0875,0.9125,-0.9125
0,0.1,0.9,-0.9
0,0.1125,0.8875,-0.8875
0,0.125,0.875,-0.875
0,0.1375,0.8625,-0.8625
0,0.15,0.85,-0.85
0,0.1625,0.8375,-0.8375
0,0.175,0.825,-0.825
0,0.1875,0.8125,-0.8125
0,0.2,0.8,-0.8
0,0.2125,0.7875,-0.7875
0,0.225,0.775,-0.775
0,0.2375,0.7625,-0.7625
0,0.25,0.75,-0.75
0,0.2625,0.7375,-0.7375
0,0.275,0.725,-0.725
0,0.2875,0.7125,-0.7125
0,0.3,0.7,-0.7
0,0.3125,0.6875,-0.6875
0,0.325,0.675,-0.675
0,0.3375,0.6625,-0.6625
0,0.35,0.65,-0.65
0,0.3625,0.6375,-0.6375
0,0.375,0.625,-0.625
0,0.3875,0.6125,-0.6125
0,0.4,0.6,-0.6
0,0.4125,0.5875,-0.5875
0,0.425,0.575,-0.575
0,0.4375,0.5625,-0.5625
0,0.45,0.55,-0.55
0,0.4625,0.5375,-0.5375
0,0.475,0.525,-0.525
0,0.4875,0.5125,-0.5125
0,0.5,0.5,-0.5
0,0.5125,0.4875,-0.4875
0,0.525,0.475,-0.475
0,0.5375,0.4625,-0.4625
0,0.55,0.45,-0.45
0,0.5625,0.4375,-0.4375
0,0.575,0.425,-0.425
0,0.5875,0.4125,-0.4125
0,0.6,0.4,-0.4
0,0.6125,0.3875,-0.3875
0,0.625,0.375,-0.375
0,0.6375,0.3625,-0.3625
0,0.65,0.35,-0.35
0,0.6625,0.3375,-0.3375
0,0.675,0.325,-0.325
0,0.6875,0.3125,-0.3125
0,0.7,0.3,-0.3
0,0.7125,0.2875,-0.2875
0,0.725,0.275,-0.275
0,0.7375,0.2625,-0.2625
0,0.75,0.25,-0.25
0,0.7625,0.2375,-0.2375
0,0.775,0.225,-0.225
0,0.7875,0.2125,-0.2125
0,0.8,0.2,-0.2
0,0.8125,0.1875,-0.1875
0,0.825,0.175,-0.175
0,0.8375,0.1625,-0.1625
0,0.85,0.15,-0.15
0,0.8625,0.1375,-0.1375
0,0.875,0.125,-0.125
0,0.8875,0.1125,-0.1125
0,0.9,0.1,-0.1
0,0.9125,0.0874999999999999,-0.0874999999999999
0,0.925,0.075,-0.075
0,0.9375,0.0625,-0.0625
0,0.95,0.0499999999999999,-0.0499999999999999
0,0.9625,0.0375,-0.0375
0,0.975,0.0249999999999999,-0.0249999999999999
0,0.9875,0.0125,-0.0125
0,1,0,0
0.0125,0,0.9875,-0.975
0.0125,0.0125,0.975,-0.95776171875
0.0125,0.025,0.9625,-0.94062890625
0.0125,0.0375,0.95,-0.9236015625
0.0125,0.05,0.9375,-0.9066796875
0.0125,0.0625,0.925,-0.88986328125
0.0125,0.075,0.9125,-0.87315234375
0.0125,0.0875,0.9,-0.856546875
0.0125,0.1,0.8875,-0.840046875
0.0125,0.1125,0.875,-0.82365234375
0.0125,0.125,0.8625,-0.80736328125
0.0125,0.1375,0.85,-0.7911796875
0.0125,0.15,0.8375,-0.7751015625
0.0125,0.1625,0.825,-0.75912890625
0.0125,0.175,0.8125,-0.74326171875
0.0125,0.1875,0.8,-0.7275
0.0125,0.2,0.7875,-0.71184375
0.0125,0.2125,0.775,-0.69629296875
0.0125,0.225,0.7625,-0.68084765625
0.0125,0.2375,0.75,-0.6655078125
0.0125,0.25,0.7375,-0.6502734375
0.0125,0.2625,0.725,-0.63514453125
0.0125,0.275,0.7125,-0.62012109375
0.0125,0.2875,0.7,-0.605203125
0.0125,0.3,0.6875,-0.590390625
0.0125,0.3125,0.675,-0.57568359375
0.0125,0.325,0.6625,-0.56108203125
0.0125,0.3375,0.65,-0.5465859375
0.0125,0.35,0.6375,-0.5321953125
0.0125,0.3625,0.625,-0.51791015625
0.0125,0.375,0.6125,-0.50373046875
0.0125,0.3875,0.6,-0.48965625
0.0125,0.4,0.5875,-0.4756875
0.0125,0.4125,0.575,-0.46182421875
0.0125,0.425,0.5625,-0.44806640625
0.0125,0.4375,0.55,-0.4344140625
0.0125,0.45,0.5375,-0.4208671875
0.0125,0.4625,0.525,-0.40742578125
0.0125,0.475,0.5125,-0.39408984375
0.0125,0.4875,0.5,-0.380859375
0.0125,0.5,0.4875,-0.367734375
0.0125,0.5125,0.475,-0.35471484375
0.0125,0.525,0.4625,-0.34180078125
0.0125,0.5375,0.45,-0.3289921875
0.0125,0.55,0.4375,-0.3162890625
0.0125,0.5625,0.425,-0.30369140625
0.0125,0.575,0.4125,-0.29119921875
0.0125,0.5875,0.4,-0.2788125
0.0125,0.6,0.3875,-0.26653125
0.0125,0.6125,0.375,-0.25435546875
0.0125,0.625,0.3625,-0.24228515625
0.0125,0.6375,0.35,-0.2303203125
0.0125,0.65,0.3375,-0.2184609375
0.0125,0.6625,0.325,-0.20670703125
0.0125,0.675,0.3125,-0.19505859375
0.0125,0.6875,0.3,-0.183515625
0.0125,0.7,0.2875,-0.172078125
0.0125,0.7125,0.275,-0.16074609375
0.0125,0.725,0.2625,-0.14951953125
0.0125,0.7375,0.25,-0.1383984375
0.0125,0.75,0.2375,-0.1273828125
0.0125,0.7625,0.225,-0.11647265625
0.0125,0.775,0.2125,-0.10566796875
0.0125,0.7875,0.2,-0.09496875
0.0125,0.8,0.1875,-0.084375
0.0125,0.8125,0.175,-0.07388671875
0.0125,0.825,0.1625,-0.06350390625
0.0125,0.8375,0.15,-0.0532265625
0.0125,0.85,0.1375,-0.0430546875
0.0125,0.8625,0.125,-0.03298828125
0.0125,0.875,0.1125,-0.02302734375
0.0125,0.8875,0.1,-0.013171875
0.0125,0.9,0.0875,-0.00342187500000001
0.0125,0.9125,0.075,0.00622265625000004
0.0125,0.925,0.0625,0.01576171875
0.0125,0.9375,0.05,0.0251953125
0.0125,0.95,0.0375,0.0345234375
0.0125,0.9625,0.025,0.04374609375
0.0125,0.975,0.0125,0.05286328125
0.0125,0.9875,0,0.061875
0.025,0,0.975,-0.95
0.025,0.0125,0.9625,-0.92812890625
0.025,0.025,0.95,-0.90646875
0.025,0.0375,0.9375,-0.88501953125
0.025,0.05,0.925,-0.86378125
0.025,0.0625,0.9125,-0.84275390625
0.025,0.075,0.9,-0.8219375
0.025,0.0875,0.8875,-0.80133203125
0.025,0.1,0.875,-0.7809375
0.025,0.1125,0.8625,-0.76075390625
0.025,0.125,0.85,-0.74078125
0.025,0.1375,0.8375,-0.72101953125
0.025,0.15,0.825,-0.70146875
0.025,0.1625,0.8125,-0.68212890625
0.025,0.175,0.8,-0.663
0.025,0.1875,0.7875,-0.64408203125
0.025,0.2,0.775,-0.625375
0.025,0.2125,0.7625,-0.60687890625
0.025,0.225,0.75,-0.58859375
0.025,0.2375,0.7375,-0.57051953125
0.025,0.25,0.725,-0.55265625
0.025,0.2625,0.7125,-0.53500390625
0.025,0.275,0.7,-0.5175625
0.025,0.2875,0.6875,-0.50033203125
0.025,0.3,0.675,-0.4833125
0.025,0.3125,0.6625,-0.46650390625
0.025,0.325,0.65,-0.44990625
0.025,0.3375,0.6375,-0.43351953125
0.025,0.35,0.625,-0.41734375
0.025,0.3625,0.6125,-0.40137890625
0.025,0.375,0.6,-0.385625
0.025,0.3875,0.5875,-0.37008203125
0.025,0.4,0.575,-0.35475
0.025,0.4125,0.5625,-0.33962890625
0.025,0.425,0.55,-0.32471875
0.025,0.4375,0.5375,-0.31001953125
0.025,0.45,0.525,-0.29553125
0.025,0.4625,0.5125,-0.28125390625
0.025,0.475,0.5,-0.2671875
0.025,0.4875,0.4875,-0.25333203125
0.025,0.5,0.475,-0.2396875
0.025,0.5125,0.4625,-0.22625390625
0.025,0.525,0.45,-0.21303125
0.025,0.5375,0.4375,-0.20001953125
0.025,0.55,0.425,-0.18721875
0.025,0.5625,0.4125,-0.17462890625
0.025,0.575,0.4,-0.16225
0.025,0.5875,0.3875,-0.15008203125
0.025,0.6,0.375,-0.138125
0.025,0.6125,0.3625,-0.12637890625
0.025,0.625,0.35,-0.11484375
0.025,0.6375,0.3375,-0.10351953125
0.025,0.65,0.325,-0.0924062499999999
0.025,0.6625,0.3125,-0.0815039062499999
0.025,0.675,0.3,-0.0708124999999999
0.025,0.6875,0.2875,-0.0603320312499999
0.025,0.7,0.275,-0.0500624999999999
0.025,0.7125,0.2625,-0.0400039062499999
0.025,0.725,0.25,-0.0301562499999999
0.025,0.7375,0.2375,-0.0205195312499999
0.025,0.75,0.225,-0.01109375
0.025,0.7625,0.2125,-0.00187890624999994
0.025,0.775,0.2,0.00712500000000005
0.025,0.7875,0.1875,0.0159179687500001
0.025,0.8,0.175,0.0245
0.025,0.8125,0.1625,0.03287109375
0.025,0.825,0.15,0.0410312500000001
0.025,0.8375,0.1375,0.04898046875
0.025,0.85,0.125,0.0567187500000001
0.025,0.8625,0.1125,0.06424609375
0.025,0.875,0.1,0.0715625
0.025,0.8875,0.0874999999999999,0.0786679687500001
0.025,0.9,0.075,0.0855625
0.025,0.9125,0.0624999999999999,0.0922460937500001
0.025,0.925,0.0499999999999999,0.09871875
0.025,0.9375,0.0375,0.10498046875
0.025,0.95,0.0249999999999999,0.11103125
0.025,0.9625,0.0125,0.11687109375
0.025,0.975,0,0.1225
0.0375,0,0.9625,-0.925
0.0375,0.0125,0.95,-0.8986015625
0.0375,0.025,0.9375,-0.87251953125
0.0375,0.0375,0.925,-0.84675390625
0.0375,0.05,0.9125,-0.8213046875
0.0375,0.0625,0.9,-0.796171875
0.0375,0.075,0.8875,-0.77135546875
0.0375,0.0875,0.875,-0.74685546875
0.0375,0.1,0.8625,-0.722671875
0.0375,0.1125,0.85,-0.6988046875
0.0375,0.125,0.8375,-0.67525390625
0.0375,0.1375,0.825,-0.65201953125
0.0375,0.15,0.8125,-0.6291015625
0.0375,0.1625,0.8,-0.6065
0.0375,0.175,0.7875,-0.58421484375
0.0375,0.1875,0.775,-0.56224609375
0.0375,0.2,0.7625,-0.54059375
0.0375,0.2125,0.75,-0.5192578125
0.0375,0.225,0.7375,-0.49823828125
0.0375,0.2375,0.725,-0.47753515625
0.0375,0.25,0.7125,-0.4571484375
0.0375,0.2625,0.7,-0.437078125
0.0375,0.275,0.6875,-0.41732421875
0.0375,0.2875,0.675,-0.39788671875
0.0375,0.3,0.6625,-0.378765625
0.0375,0.3125,0.65,-0.3599609375
0.0375,0.325,0.6375,-0.34147265625
0.0375,0.3375,0.625,-0.32330078125
0.0375,0.35,0.6125,-0.3054453125
0.0375,0.3625,0.6,-0.28790625
0.0375,0.375,0.5875,-0.27068359375
0.0375,0.3875,0.575,-0.25377734375
0.0375,0.4,0.5625,-0.2371875
0.0375,0.4125,0.55,-0.2209140625
0.0375,0.425,0.5375,-0.20495703125
0.0375,0.4375,0.525,-0.18931640625
0.0375,0.45,0.5125,-0.1739921875
0.0375,0.4625,0.5,-0.158984375
0.0375,0.475,0.4875,-0.14429296875
0.0375,0.4875,0.475,-0.12991796875
0.0375,0.5,0.4625,-0.115859375
0.0375,0.5125,0.45,-0.1021171875
0.0375,0.525,0.4375,-0.08869140625
0.0375,0.5375,0.425,-0.07558203125
0.0375,0.55,0.4125,-0.0627890624999999
0.0375,0.5625,0.4,-0.0503125
0.0375,0.575,0.3875,-0.0381523437499999
0.0375,0.5875,0.375,-0.02630859375
0.0375,0.6,0.3625,-0.0147812499999999
0.0375,0.6125,0.35,-0.00357031249999989
0.0375,0.625,0.3375,0.00732421875
0.0375,0.6375,0.325,0.01790234375
0.0375,0.65,0.3125,0.0281640625000001
0.0375,0.6625,0.3,0.0381093750000001
0.0375,0.675,0.2875,0.0477382812500001
0.0375,0.6875,0.275,0.0570507812500001
0.0375,0.7,0.2625,0.0660468750000001
0.0375,0.7125,0.25,0.0747265625000001
0.0375,0.725,0.2375,0.0830898437500001
0.0375,0.7375,0.225,0.0911367187500001
0.0375,0.75,0.2125,0.0988671875
0.0375,0.7625,0.2,0.10628125
0.0375,0.775,0.1875,0.11337890625
0.0375,0.7875,0.175,0.12016015625
0.0375,0.8,0.1625,0.126625
0.0375,0.8125,0.15,0.1327734375
0.0375,0.825,0.1375,0.13860546875
0.0375,0.8375,0.125,0.14412109375
0.0375,0.85,0.1125,0.1493203125
0.0375,0.8625,0.1,0.154203125
0.0375,0.875,0.0875,0.15876953125
0.0375,0.8875,0.075,0.16301953125
0.0375,0.9,0.0625,0.166953125
0.0375,0.9125,0.0499999999999999,0.1705703125
0.0375,0.925,0.0375,0.17387109375
0.0375,0.9375,0.025,0.17685546875
0.0375,0.95,0.0125,0.1795234375
0.0375,0.9625,0,0.181875
0.05,0,0.95,-0.9
0.05,0.0125,0.9375,-0.8691796875
0.05,0.025,0.925,-0.83878125
0.05,0.0375,0.9125,-0.8088046875
0.05,0.05,0.9,-0.77925
0.05,0.0625,0.8875,-0.7501171875
0.05,0.075,0.875,-0.72140625
0.05,0.0875,0.8625,-0.6931171875
0.05,0.1,0.85,-0.66525
0.05,0.1125,0.8375,-0.6378046875
0.05,0.125,0.825,-0.61078125
0.05,0.1375,0.8125,-0.5841796875
0.05,0.15,0.8,-0.558
0.05,0.1625,0.7875,-0.5322421875
0.05,0.175,0.775,-0.50690625
0.05,0.1875,0.7625,-0.4819921875
0.05,0.2,0.75,-0.4575
0.05,0.2125,0.7375,-0.4334296875
0.05,0.225,0.725,-0.40978125
0.05,0.2375,0.7125,-0.3865546875
0.05,0.25,0.7,-0.36375
0.05,0.2625,0.6875,-0.3413671875
0.05,0.275,0.675,-0.31940625
0.05,0.2875,0.6625,-0.2978671875
0.05,0.3,0.65,-0.27675
0.05,0.3125,0.6375,-0.2560546875
0.05,0.325,0.625,-0.23578125
0.05,0.3375,0.6125,-0.2159296875
0.05,0.35,0.6,-0.1965
0.05,0.3625,0.5875,-0.1774921875
0.05,0.375,0.575,-0.15890625
0.05,0.3875,0.5625,-0.1407421875
0.05,0.4,0.55,-0.123
0.05,0.4125,0.5375,-0.1056796875
0.05,0.425,0.525,-0.0887812499999999
0.05,0.4375,0.5125,-0.0723046874999999
0.05,0.45,0.5,-0.05625
0.05,0.4625,0.4875,-0.0406171874999999
0.05,0.475,0.475,-0.0254062499999999
0.05,0.4875,0.4625,-0.0106171874999999
0.05,0.5,0.45,0.00375000000000003
0.05,0.5125,0.4375,0.0176953125000001
0.05,0.525,0.425,0.0312187500000001
0.05,0.5375,0.4125,0.0443203125
0.05,0.55,0.4,0.0570000000000001
0.05,0.5625,0.3875,0.0692578125
0.05,0.575,0.375,0.08109375
0.05,0.5875,0.3625,0.0925078125
0.05,0.6,0.35,0.1035
0.05,0.6125,0.3375,0.1140703125
