"L","G","S","type","CIWidth"
38400,36000,6600,0,16.19
82200,55500,8600,0,10.95
73100,45800,6800,0,10.08
90500,65300,11200,0,11.56
68500,40900,6700,0,9.67
73800,60400,10600,0,10.79
71900,50600,8000,0,10.24
120200,70100,10500,0,13.84
74800,38400,6200,0,9.76
78500,57900,8400,0,10.92
66500,48200,8700,0,9.94
110400,67700,10600,0,13.13
56100,43300,6400,0,10.91
118800,62800,10700,0,13.54
74300,53100,7500,0,10.48
54200,37200,5500,0,11.25
73300,56700,12200,0,10.59
58400,47000,6900,0,10.21
119700,66500,10900,0,13.69
53000,42100,7200,0,11.64
90500,61600,8800,0,11.7
102400,51800,8700,0,11.77
97800,71300,10700,0,12.06
60900,39700,6400,0,9.31
111900,59200,9200,0,13.18
83300,49400,7800,0,10.65
83500,68900,10600,0,11.02
74700,44500,6600,0,10.08
92200,64000,10500,0,11.71
66400,54300,10000,0,10.21
68500,36600,6100,0,9.47
74800,56100,8800,0,10.63
57700,46400,9300,0,10.45
94900,65900,9700,0,11.92
53900,41500,5800,0,11.37
117700,61000,10000,0,13.47
80000,51200,7700,0,10.63
48300,39000,6000,0,12.9
104000,58500,9700,0,12.5
86000,48800,7000,0,10.75
101600,68300,10700,0,12.37
70100,43900,6900,0,9.86
73800,63400,10800,0,10.66
79700,53700,8900,0,10.71
131800,73200,11600,0,14.72
50500,37800,6000,0,12.26
90700,57300,8400,0,11.54
75500,47600,7800,0,10.22
78500,67100,13400,0,10.75
77700,42700,6700,0,10.07
96200,62200,10600,0,12.01
62500,52500,8700,0,9.7
61500,40300,5800,0,9.15
79800,59800,10300,0,11.06
71000,50000,7600,0,10.18
57800,45100,8900,0,10.4
96400,64600,9700,0,12.04
98400,54900,8800,0,11.84
94100,74400,10800,0,11.71
57900,36300,5500,0,10.17
64700,55800,8800,0,10.18
68300,46100,7400,0,9.9
118400,65600,10100,0,13.62
48200,41200,7800,0,12.96
99400,60700,10200,0,12.26
81900,50900,7400,0,10.7
98000,70400,11600,0,12.05
50000,38700,5600,0,12.42
110000,58200,9700,0,12.92
74700,48500,7400,0,10.25
92100,68000,13800,0,11.6
90600,43600,7400,0,10.48
90000,63100,9500,0,11.6
70500,53400,8900,0,10.32
113500,72900,10700,0,13.43
50100,37500,7000,0,12.37
89400,57000,8800,0,11.41
89500,47300,7700,0,10.76
88500,66800,9800,0,11.41
57200,42400,5900,0,10.45
74600,61900,12900,0,10.75
66200,52100,8000,0,10.11
67800,40000,6000,0,9.64
86700,59500,10000,0,11.39
56200,49700,8700,0,11.02
109900,69200,11100,0,13.05
67100,44800,7100,0,9.81
117700,64300,9900,0,13.56
98900,54600,9400,0,11.79
50800,36900,5500,0,12.19
115900,56400,9900,0,12.94
69800,46700,6800,0,10
87000,66200,12100,0,11.27
47200,36000,8200,1,11.59
101400,55500,10600,1,10.78
90500,45800,8400,1,9.62
84900,40900,8300,1,9.14
88700,50600,9900,1,9.72
93100,38400,9100,1,9.09
96600,57900,10400,1,10.6
81900,48200,10800,1,9.24
69200,43300,8000,1,8.52
91600,53100,9300,1,10.04
67000,37200,6900,1,8.31
71900,47000,8500,1,8.74
65300,42100,8900,1,8.31
111700,61600,10900,1,11.77
127200,51800,10900,1,11.73
75300,39700,7900,1,8.69
138800,59200,11500,1,13.13
103100,49400,9700,1,10.53
92500,44500,8200,1,9.61
81600,54300,12300,1,9.46
85200,36600,7700,1,8.9
92100,56100,10900,1,10.18
71100,46400,11500,1,8.65
66500,41500,7200,1,8.38
98900,51200,9500,1,10.37
59500,39000,7400,1,8.36
106800,48800,8800,1,10.83
86700,43900,8600,1,9.35
98300,53700,11100,1,10.44
62300,37800,7500,1,7.88
112100,57300,10400,1,11.81
93300,47600,9700,1,9.83
96500,42700,8300,1,9.53
76900,52500,10800,1,9.14
76000,40300,7200,1,8.78
87600,50000,9400,1,9.65
71200,45100,11000,1,8.63
121900,54900,10900,1,11.95
71700,36300,6900,1,8.45
79400,55800,10800,1,9.4
84300,46100,9200,1,9.3
59400,41200,9700,1,8.49
101300,50900,9200,1,10.54
61600,38700,6900,1,7.88
92300,48500,9200,1,9.84
113000,43600,9200,1,10.17
86800,53400,11000,1,9.72
61800,37500,8700,1,7.89
110300,57000,10900,1,11.6
111100,47300,9600,1,10.96
70600,42400,7300,1,8.59
81500,52100,9900,1,9.39
84100,40000,7500,1,9.11
69100,49700,10800,1,8.65
82800,44800,8900,1,9.19
62700,36900,6800,1,7.93
86300,46700,8400,1,9.46
