"X1","X2","Weight"
-1,-1,37.696
-1,-0.96,38.07104
-1,-0.92,38.43136
-1,-0.88,38.77696
-1,-0.84,39.10784
-1,-0.8,39.424
-1,-0.76,39.72544
-1,-0.72,40.01216
-1,-0.68,40.28416
-1,-0.64,40.54144
-1,-0.6,40.784
-1,-0.56,41.01184
-1,-0.52,41.22496
-1,-0.48,41.42336
-1,-0.44,41.60704
-1,-0.4,41.776
-1,-0.36,41.93024
-1,-0.32,42.06976
-1,-0.28,42.19456
-1,-0.24,42.30464
-1,-0.2,42.4
-1,-0.16,42.48064
-1,-0.12,42.54656
-1,-0.08,42.59776
-1,-0.04,42.63424
-1,0,42.656
-1,0.04,42.66304
-1,0.08,42.65536
-1,0.12,42.63296
-1,0.16,42.59584
-1,0.2,42.544
-1,0.24,42.47744
-1,0.28,42.39616
-1,0.32,42.30016
-1,0.36,42.18944
-1,0.4,42.064
-1,0.44,41.92384
-1,0.48,41.76896
-1,0.52,41.59936
-1,0.56,41.41504
-1,0.6,41.216
-1,0.64,41.00224
-1,0.68,40.77376
-1,0.72,40.53056
-1,0.76,40.27264
-1,0.8,40
-1,0.84,39.71264
-1,0.88,39.41056
-1,0.92,39.09376
-1,0.96,38.76224
-1,1,38.416
-0.96,-1,38.01536
-0.96,-0.96,38.39296
-0.96,-0.92,38.75584
-0.96,-0.88,39.104
-0.96,-0.84,39.43744
-0.96,-0.8,39.75616
-0.96,-0.76,40.06016
-0.96,-0.72,40.34944
-0.96,-0.68,40.624
-0.96,-0.64,40.88384
-0.96,-0.6,41.12896
-0.96,-0.56,41.35936
-0.96,-0.52,41.57504
-0.96,-0.48,41.776
-0.96,-0.44,41.96224
-0.96,-0.4,42.13376
-0.96,-0.36,42.29056
-0.96,-0.32,42.43264
-0.96,-0.28,42.56
-0.96,-0.24,42.67264
-0.96,-0.2,42.77056
-0.96,-0.16,42.85376
-0.96,-0.12,42.92224
-0.96,-0.08,42.976
-0.96,-0.04,43.01504
-0.96,0,43.03936
-0.96,0.04,43.04896
-0.96,0.08,43.04384
-0.96,0.12,43.024
-0.96,0.16,42.98944
-0.96,0.2,42.94016
-0.96,0.24,42.87616
-0.96,0.28,42.79744
-0.96,0.32,42.704
-0.96,0.36,42.59584
-0.96,0.4,42.47296
-0.96,0.44,42.33536
-0.96,0.48,42.18304
-0.96,0.52,42.016
-0.96,0.56,41.83424
-0.96,0.6,41.63776
-0.96,0.64,41.42656
-0.96,0.68,41.20064
-0.96,0.72,40.96
-0.96,0.76,40.70464
-0.96,0.8,40.43456
-0.96,0.84,40.14976
-0.96,0.88,39.85024
-0.96,0.92,39.536
-0.96,0.96,39.20704
-0.96,1,38.86336
-0.92,-1,38.32384
-0.92,-0.96,38.704
-0.92,-0.92,39.06944
-0.92,-0.88,39.42016
-0.92,-0.84,39.75616
-0.92,-0.8,40.07744
-0.92,-0.76,40.384
-0.92,-0.72,40.67584
-0.92,-0.68,40.95296
-0.92,-0.64,41.21536
-0.92,-0.6,41.46304
-0.92,-0.56,41.696
-0.92,-0.52,41.91424
-0.92,-0.48,42.11776
-0.92,-0.44,42.30656
-0.92,-0.4,42.48064
-0.92,-0.36,42.64
-0.92,-0.32,42.78464
-0.92,-0.28,42.91456
-0.92,-0.24,43.02976
-0.92,-0.2,43.13024
-0.92,-0.16,43.216
-0.92,-0.12,43.28704
-0.92,-0.08,43.34336
-0.92,-0.04,43.38496
-0.92,0,43.41184
-0.92,0.04,43.424
-0.92,0.08,43.42144
-0.92,0.12,43.40416
-0.92,0.16,43.37216
-0.92,0.2,43.32544
-0.92,0.24,43.264
-0.92,0.28,43.18784
-0.92,0.32,43.09696
-0.92,0.36,42.99136
-0.92,0.4,42.87104
-0.92,0.44,42.736
-0.92,0.48,42.58624
-0.92,0.52,42.42176
-0.92,0.56,42.24256
-0.92,0.6,42.04864
-0.92,0.64,41.84
-0.92,0.68,41.61664
-0.92,0.72,41.37856
-0.92,0.76,41.12576
-0.92,0.8,40.85824
-0.92,0.84,40.576
-0.92,0.88,40.27904
-0.92,0.92,39.96736
-0.92,0.96,39.64096
-0.92,1,39.29984
-0.88,-1,38.62144
-0.88,-0.96,39.00416
-0.88,-0.92,39.37216
-0.88,-0.88,39.72544
-0.88,-0.84,40.064
-0.88,-0.8,40.38784
-0.88,-0.76,40.69696
-0.88,-0.72,40.99136
-0.88,-0.68,41.27104
-0.88,-0.64,41.536
-0.88,-0.6,41.78624
-0.88,-0.56,42.02176
-0.88,-0.52,42.24256
-0.88,-0.48,42.44864
-0.88,-0.44,42.64
-0.88,-0.4,42.81664
-0.88,-0.36,42.97856
-0.88,-0.32,43.12576
-0.88,-0.28,43.25824
-0.88,-0.24,43.376
-0.88,-0.2,43.47904
-0.88,-0.16,43.56736
-0.88,-0.12,43.64096
-0.88,-0.08,43.69984
-0.88,-0.04,43.744
-0.88,0,43.77344
-0.88,0.04,43.78816
-0.88,0.08,43.78816
-0.88,0.12,43.77344
-0.88,0.16,43.744
-0.88,0.2,43.69984
-0.88,0.24,43.64096
-0.88,0.28,43.56736
-0.88,0.32,43.47904
-0.88,0.36,43.376
-0.88,0.4,43.25824
-0.88,0.44,43.12576
-0.88,0.48,42.97856
-0.88,0.52,42.81664
-0.88,0.56,42.64
-0.88,0.6,42.44864
-0.88,0.64,42.24256
-0.88,0.68,42.02176
-0.88,0.72,41.78624
-0.88,0.76,41.536
-0.88,0.8,41.27104
-0.88,0.84,40.99136
-0.88,0.88,40.69696
-0.88,0.92,40.38784
-0.88,0.96,40.064
-0.88,1,39.72544
-0.84,-1,38.90816
-0.84,-0.96,39.29344
-0.84,-0.92,39.664
-0.84,-0.88,40.01984
-0.84,-0.84,40.36096
-0.84,-0.8,40.68736
-0.84,-0.76,40.99904
-0.84,-0.72,41.296
-0.84,-0.68,41.57824
-0.84,-0.64,41.84576
-0.84,-0.6,42.09856
-0.84,-0.56,42.33664
-0.84,-0.52,42.56
-0.84,-0.48,42.76864
-0.84,-0.44,42.96256
-0.84,-0.4,43.14176
-0.84,-0.36,43.30624
-0.84,-0.32,43.456
-0.84,-0.28,43.59104
-0.84,-0.24,43.71136
-0.84,-0.2,43.81696
-0.84,-0.16,43.90784
-0.84,-0.12,43.984
-0.84,-0.08,44.04544
-0.84,-0.04,44.09216
-0.84,0,44.12416
-0.84,0.04,44.14144
-0.84,0.08,44.144
-0.84,0.12,44.13184
-0.84,0.16,44.10496
-0.84,0.2,44.06336
-0.84,0.24,44.00704
-0.84,0.28,43.936
-0.84,0.32,43.85024
-0.84,0.36,43.74976
-0.84,0.4,43.63456
-0.84,0.44,43.50464
-0.84,0.48,43.36
-0.84,0.52,43.20064
-0.84,0.56,43.02656
-0.84,0.6,42.83776
-0.84,0.64,42.63424
-0.84,0.68,42.416
-0.84,0.72,42.18304
-0.84,0.76,41.93536
-0.84,0.8,41.67296
-0.84,0.84,41.39584
-0.84,0.88,41.104
-0.84,0.92,40.79744
-0.84,0.96,40.47616
-0.84,1,40.14016
-0.8,-1,39.184
-0.8,-0.96,39.57184
-0.8,-0.92,39.94496
-0.8,-0.88,40.30336
-0.8,-0.84,40.64704
-0.8,-0.8,40.976
-0.8,-0.76,41.29024
-0.8,-0.72,41.58976
-0.8,-0.68,41.87456
-0.8,-0.64,42.14464
-0.8,-0.6,42.4
-0.8,-0.56,42.64064
-0.8,-0.52,42.86656
-0.8,-0.48,43.07776
-0.8,-0.44,43.27424
-0.8,-0.4,43.456
-0.8,-0.36,43.62304
-0.8,-0.32,43.77536
-0.8,-0.28,43.91296
-0.8,-0.24,44.03584
-0.8,-0.2,44.144
-0.8,-0.16,44.23744
-0.8,-0.12,44.31616
-0.8,-0.08,44.38016
-0.8,-0.04,44.42944
-0.8,0,44.464
-0.8,0.04,44.48384
-0.8,0.08,44.48896
-0.8,0.12,44.47936
-0.8,0.16,44.45504
-0.8,0.2,44.416
-0.8,0.24,44.36224
-0.8,0.28,44.29376
-0.8,0.32,44.21056
-0.8,0.36,44.11264
-0.8,0.4,44
-0.8,0.44,43.87264
-0.8,0.48,43.73056
-0.8,0.52,43.57376
-0.8,0.56,43.40224
-0.8,0.6,43.216
-0.8,0.64,43.01504
-0.8,0.68,42.79936
-0.8,0.72,42.56896
-0.8,0.76,42.32384
-0.8,0.8,42.064
-0.8,0.84,41.78944
-0.8,0.88,41.50016
-0.8,0.92,41.19616
-0.8,0.96,40.87744
-0.8,1,40.544
-0.76,-1,39.44896
-0.76,-0.96,39.83936
-0.76,-0.92,40.21504
-0.76,-0.88,40.576
-0.76,-0.84,40.92224
-0.76,-0.8,41.25376
-0.76,-0.76,41.57056
-0.76,-0.72,41.87264
-0.76,-0.68,42.16
-0.76,-0.64,42.43264
-0.76,-0.6,42.69056
-0.76,-0.56,42.93376
-0.76,-0.52,43.16224
-0.76,-0.48,43.376
-0.76,-0.44,43.57504
-0.76,-0.4,43.75936
-0.76,-0.36,43.92896
-0.76,-0.32,44.08384
-0.76,-0.28,44.224
-0.76,-0.24,44.34944
-0.76,-0.2,44.46016
-0.76,-0.16,44.55616
-0.76,-0.12,44.63744
-0.76,-0.08,44.704
-0.76,-0.04,44.75584
-0.76,0,44.79296
-0.76,0.04,44.81536
-0.76,0.08,44.82304
-0.76,0.12,44.816
